Repository	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix															
typesfsextra	-	-	ERR	ERR	ERR															
typescordova	-	-	ERR	ERR	ERR															
typesjasmine	-	-	ERR	ERR	ERR															
typesrequest	-	-	ERR	ERR	ERR															
typesuuid	-	-	ERR	ERR	ERR															
typesbluebird	-	-	ERR	ERR	ERR															
typesmocha	-	-	ERR	ERR	ERR															
watchify	-	-	ERR	ERR	ERR															
httpproxymiddleware	-	-	ERR	ERR	ERR															
reactmotion	-	-	ERR	ERR	ERR															
domhelpers	-	-	ERR	ERR	ERR															
jscookie	-	-	ERR	ERR	ERR															
urlparse	-	-	ERR	ERR	ERR															
draftjs	-	-	ERR	ERR	ERR															
localforage	-	-	ERR	ERR	ERR															
cosmiconfig	-	-	ERR	ERR	ERR															
consolidate	-	-	ERR	ERR	ERR															
eslintpluginnode	-	-	ERR	ERR	ERR															
imagemin	-	-	ERR	ERR	ERR															
ethereumjstx	-	-	ERR	ERR	ERR															
reactmarkdown	-	-	ERR	ERR	ERR															
micromatch	-	-	ERR	ERR	ERR															
eventemitter3	-	-	ERR	ERR	ERR															
popperjs	-	-	ERR	ERR	ERR															
vuex	-	-	ERR	ERR	ERR															
npmrunall	-	-	ERR	ERR	ERR															
nodefetch	-	-	ERR	ERR	ERR															
eslintconfigstandard	-	-	ERR	ERR	ERR															
resolve	-	-	ERR	ERR	ERR															
qs	-	-	ERR	ERR	ERR															
koarouter	-	-	ERR	ERR	ERR															
jimp	-	-	ERR	ERR	ERR															
acorn	-	-	ERR	ERR	ERR															
download	-	-	ERR	ERR	ERR															
eslintpluginvue	-	-	ERR	ERR	ERR															
bizcharts	-	-	ERR	ERR	ERR															
immer	-	-	ERR	ERR	ERR															
crossfetch	-	-	ERR	ERR	ERR															
ethereumjsutil	-	-	ERR	ERR	ERR															
htmlwebpackplugin	-	-	ERR	ERR	ERR															
should	-	-	ERR	ERR	ERR															
reactcolor	-	-	ERR	ERR	ERR															
firebase	-	-	ERR	ERR	ERR															
fsextra	-	-	ERR	ERR	ERR															
babelloader	-	-	ERR	ERR	ERR															
datefns	-	-	ERR	ERR	ERR															
koa	-	-	ERR	ERR	ERR															
reactslick	-	-	ERR	ERR	ERR															
enzyme	-	-	ERR	ERR	ERR															
reactstrap	-	-	ERR	ERR	ERR															
vuei18n	-	-	ERR	ERR	ERR															
tape	-	-	ERR	ERR	ERR															
babeleslint	-	-	ERR	ERR	ERR															
filetype	-	-	ERR	ERR	ERR															
eslintpluginjsxa11y	-	-	ERR	ERR	ERR															
tsloader	-	-	ERR	ERR	ERR															
tslintconfigprettier	-	-	ERR	ERR	ERR															
es6shim	-	-	ERR	ERR	ERR															
reactdnd	-	-	ERR	ERR	ERR															
reactdndhtml5backend	-	-	ERR	ERR	ERR															
angular	-	-	ERR	ERR	ERR															
angularanimate	-	-	ERR	ERR	ERR															
chokidar	-	-	ERR	ERR	ERR															
mqtt	-	-	ERR	ERR	ERR															
validator	-	-	ERR	ERR	ERR															
alifdnext	-	-	ERR	ERR	ERR															
reacthotloader	-	-	ERR	ERR	ERR															
iview	-	-	ERR	ERR	ERR															
elementui	-	-	ERR	ERR	ERR															
tslint	-	-	ERR	ERR	ERR															
eslintpluginreact	-	-	ERR	ERR	ERR															
leveldown	-	-	ERR	ERR	ERR															
pino	-	-	ERR	ERR	ERR															
eslintpluginimport	-	-	ERR	ERR	ERR															
ws	-	-	ERR	ERR	ERR															
raven	-	-	ERR	ERR	ERR															
reactdatepicker	-	-	ERR	ERR	ERR															
got	-	-	ERR	ERR	ERR															
request	-	-	ERR	ERR	ERR															
reactvirtualized	-	-	ERR	ERR	ERR															
corejs	-	-	ERR	ERR	ERR															
emberclihtmlbars	-	-	ERR	ERR	ERR															
styledcomponents	-	-	ERR	ERR	ERR															
standard	-	-	ERR	ERR	ERR															
jsdom	-	-	ERR	ERR	ERR															
jest	-	-	ERR	ERR	ERR															
babeljest	-	-	ERR	ERR	ERR															
jestresolve	-	-	ERR	ERR	ERR															
ajv	-	-	ERR	ERR	ERR															
reactbootstrap	-	-	ERR	ERR	ERR															
react	-	-	ERR	ERR	ERR															
reactdom	-	-	ERR	ERR	ERR															
createreactclass	-	-	ERR	ERR	ERR															
eslintpluginreacthooks	-	-	ERR	ERR	ERR															
reactaddonscsstransitiongroup	-	-	ERR	ERR	ERR															
reacttestrenderer	-	-	ERR	ERR	ERR															
reactaddonsshallowcompare	-	-	ERR	ERR	ERR															
hapi	-	-	ERR	ERR	ERR															
semanticuireact	-	-	ERR	ERR	ERR															
eslint	-	-	ERR	ERR	ERR															
sequelize	-	-	ERR	ERR	ERR															
angularcdk	-	-	ERR	ERR	ERR															
angularmaterial	-	-	ERR	ERR	ERR															
browserify	-	-	ERR	ERR	ERR															
jupyterlabapplication	-	-	ERR	ERR	ERR															
reactnative	-	-	ERR	ERR	ERR															
angularcore	-	-	ERR	ERR	ERR															
angularcommon	-	-	ERR	ERR	ERR															
zonejs	-	-	ERR	ERR	ERR															
angularplatformbrowser	-	-	ERR	ERR	ERR															
angularcompiler	-	-	ERR	ERR	ERR															
angularforms	-	-	ERR	ERR	ERR															
angularplatformbrowserdynamic	-	-	ERR	ERR	ERR															
angularrouter	-	-	ERR	ERR	ERR															
angularhttp	-	-	ERR	ERR	ERR															
angularanimations	-	-	ERR	ERR	ERR															
angularcompilercli	-	-	ERR	ERR	ERR															
angularplatformserver	-	-	ERR	ERR	ERR															
angulardevkitcore	-	-	ERR	ERR	ERR															
angulardevkitschematics	-	-	ERR	ERR	ERR															
materialuicore	-	-	ERR	ERR	ERR															
materialui	-	-	ERR	ERR	ERR															
materialuiicons	-	-	ERR	ERR	ERR															
webpack	-	-	ERR	ERR	ERR															
babelpluginproposalclassproperties	-	-	ERR	ERR	ERR															
babelpluginproposaldecorators	-	-	ERR	ERR	ERR															
babelpluginproposalexportdefaultfrom	-	-	ERR	ERR	ERR															
babelpluginproposalexportnamespacefrom	-	-	ERR	ERR	ERR															
prettier	-	-	ERR	ERR	ERR															
mongoose	-	-	ERR	ERR	ERR															
antd	-	-	ERR	ERR	ERR															
nconf	-	-	ERR	ERR	ERR															
reactredux	-	-	ERR	ERR	ERR															
color	-	-	ERR	ERR	ERR															
fontawesome	0	0	ERR	No Vul (Changed)	No Vul															
fortawesomefontawesomesvgcore	0	0	ERR	No Vul (Changed)	No Vul															
fortawesomefreesolidsvgicons	0	0	ERR	No Vul (Changed)	No Vul															
crypto	0	0	ERR	No Vul (Changed)	No Vul															
fs	0	0	ERR	No Vul (Changed)	No Vul															
http	0	0	ERR	No Vul (Changed)	No Vul															
childprocess	0	0	ERR	No Vul (Changed)	No Vul															
os	0	0	ERR	No Vul (Changed)	No Vul															
clear	0	0	ERR	No Vul (Changed)	No Vul															
requirejs	0	0	ERR	No Vul (Changed)	No Vul															
deepassign	0	0	ERR	No Vul (Changed)	No Vul															
path	0	0	ERR	No Vul (Changed)	No Vul															
babelhelpervuejsxmergeprops	0	0	ERR	No Vul (Changed)	No Vul															
vinylbuffer	0	0	ERR	No Vul (Changed)	No Vul															
keypress	0	0	ERR	No Vul (Changed)	No Vul															
iniparser	0	0	ERR	No Vul (Changed)	No Vul															
jestpnpresolver	0	0	ERR	No Vul (Changed)	No Vul															
jsonstablestringify	0	0	ERR	No Vul (Changed)	No Vul															
sprintf	0	0	ERR	No Vul (Changed)	No Vul															
tspnp	0	0	ERR	No Vul (Changed)	No Vul															
userhome	0	0	ERR	No Vul (Changed)	No Vul															
debounce	0	0	ERR	No Vul (Changed)	No Vul															
requiredir	0	0	ERR	No Vul (Changed)	No Vul															
vinylsourcestream	0	0	ERR	No Vul (Changed)	No Vul															
ispromise	0	0	ERR	No Vul (Changed)	No Vul															
postcssnormalize	0	0	ERR	No Vul (Changed)	No Vul															
isurl	0	0	ERR	No Vul (Changed)	No Vul															
fuzzy	0	0	ERR	No Vul (Changed)	No Vul															
dot	0	0	ERR	No Vul (Changed)	No Vul															
xmlhttprequest	0	0	ERR	No Vul (Changed)	No Vul															
clispinner	0	0	ERR	No Vul (Changed)	No Vul															
createhash	0	0	ERR	No Vul (Changed)	No Vul															
mergestream	0	0	ERR	No Vul (Changed)	No Vul															
leftpad	0	0	ERR	No Vul (Changed)	No Vul															
requireall	0	0	ERR	No Vul (Changed)	No Vul															
hoganjs	0	0	ERR	No Vul (Changed)	No Vul															
gulprename	0	0	ERR	No Vul (Changed)	No Vul															
progress	0	0	ERR	No Vul (Changed)	No Vul															
bindings	0	0	ERR	No Vul (Changed)	No Vul															
gulpif	0	0	ERR	No Vul (Changed)	No Vul															
verror	0	0	ERR	No Vul (Changed)	No Vul															
i	0	0	ERR	No Vul (Changed)	No Vul															
safebuffer	0	0	ERR	No Vul (Changed)	No Vul															
xtend	0	0	ERR	No Vul (Changed)	No Vul															
pump	0	0	ERR	No Vul (Changed)	No Vul															
oauth	0	0	ERR	No Vul (Changed)	No Vul															
isplainobject	0	0	ERR	No Vul (Changed)	No Vul															
componentemitter	0	0	ERR	No Vul (Changed)	No Vul															
nomnom	0	0	ERR	No Vul (Changed)	No Vul															
isomorphicfetch	0	0	ERR	No Vul (Changed)	No Vul															
bs58	0	0	ERR	No Vul (Changed)	No Vul															
busboy	0	0	ERR	No Vul (Changed)	No Vul															
hiredis	0	0	ERR	No Vul (Changed)	No Vul															
split2	0	0	ERR	No Vul (Changed)	No Vul															
eslintpluginstandard	0	0	ERR	No Vul (Changed)	No Vul															
concatstream	0	0	ERR	No Vul (Changed)	No Vul															
httpstatus	0	0	ERR	No Vul (Changed)	No Vul															
slugify	0	0	ERR	No Vul (Changed)	No Vul															
fastclick	0	0	ERR	No Vul (Changed)	No Vul															
through	0	0	ERR	No Vul (Changed)	No Vul															
jsonfile	0	0	ERR	No Vul (Changed)	No Vul															
watch	0	0	ERR	No Vul (Changed)	No Vul															
argparse	0	0	ERR	No Vul (Changed)	No Vul															
tslintreact	0	0	ERR	No Vul (Changed)	No Vul															
traverse	0	0	ERR	No Vul (Changed)	No Vul															
through2	0	0	ERR	No Vul (Changed)	No Vul															
postcsspresetenv	0	0	ERR	No Vul (Changed)	No Vul															
