Repository	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix															
clicolor	2	2	ERR	Vul Found (Changed)	Vul Found															
gruntcontribwatch	14	14	ERR	Vul Found (Changed)	Vul Found															
broccolimergetrees	10	3	ERR	Vul Found (Changed)	Vul Found															
faker	4	4	ERR	Vul Found (Changed)	Vul Found															
gulpcleancss	4	4	ERR	Vul Found (Changed)	Vul Found															
genericpool	13	13	ERR	Vul Found (Changed)	Vul Found															
JSONStream	1	1	ERR	Vul Found (Changed)	Vul Found															
backbone	6	6	ERR	Vul Found (Changed)	Vul Found															
gulpshell	9	4	ERR	Vul Found (Changed)	Vul Found															
formdata	1	1	ERR	Vul Found (Changed)	Vul Found															
eventemitter2	1	1	ERR	Vul Found (Changed)	Vul Found															
depd	1	1	ERR	Vul Found (Changed)	Vul Found															
gulpless	4	4	ERR	Vul Found (Changed)	Vul Found															
gulputil	9	9	ERR	Vul Found (Changed)	Vul Found															
graymatter	4	4	ERR	Vul Found (Changed)	Vul Found															
diff	4	1	ERR	Vul Found (Changed)	Vul Found															
karmachromelauncher	3	3	ERR	Vul Found (Changed)	Vul Found															
babelpresetenv	26	9	ERR	Vul Found (Changed)	Vul Found															
onfinished	1	1	ERR	Vul Found (Changed)	Vul Found															
pngjs	6	1	ERR	Vul Found (Changed)	Vul Found															
asyncvalidator	7	7	ERR	Vul Found (Changed)	Vul Found															
liftoff	7	7	ERR	Vul Found (Changed)	Vul Found															
gulpsass	3	3	ERR	Vul Found (Changed)	Vul Found															
iconvlite	4	4	ERR	Vul Found (Changed)	Vul Found															
grpc	12	12	ERR	Vul Found (Changed)	Vul Found															
gulpjshint	14	6	ERR	Vul Found (Changed)	Vul Found															
requestpromise	12	12	ERR	Vul Found (Changed)	Vul Found															
urijs	5	5	ERR	Vul Found (Changed)	Vul Found															
bytebuffer	2	2	ERR	Vul Found (Changed)	Vul Found															
reacticons	5	5	ERR	Vul Found (Changed)	Vul Found															
pullstream	1	1	ERR	Vul Found (Changed)	Vul Found															
vueloader	15	15	ERR	Vul Found (Changed)	Vul Found															
gm	2	2	ERR	Vul Found (Changed)	Vul Found															
hammerjs	15	15	ERR	Vul Found (Changed)	Vul Found															
phosphorwidgets	27	14	ERR	Vul Found (Changed)	Vul Found															
q	9	9	ERR	Vul Found (Changed)	Vul Found															
servefavicon	9	9	ERR	Vul Found (Changed)	Vul Found															
babelplugintransformreactremoveproptypes	9	4	ERR	Vul Found (Changed)	Vul Found															
formidable	3	3	ERR	Vul Found (Changed)	Vul Found															
nunjucks	10	10	ERR	Vul Found (Changed)	Vul Found															
chance	28	19	ERR	Vul Found (Changed)	Vul Found															
connectmongo	8	2	ERR	Vul Found (Changed)	Vul Found															
nan	4	4	ERR	Vul Found (Changed)	Vul Found															
debug	4	4	ERR	Vul Found (Changed)	Vul Found															
swig	30	30	ERR	Vul Found (Changed)	Vul Found															
jsonwebtoken	12	12	ERR	Vul Found (Changed)	Vul Found															
forktscheckerwebpackplugin	11	1	ERR	Vul Found (Changed)	Vul Found															
rx	3	3	ERR	Vul Found (Changed)	Vul Found															
phantomjsprebuilt	7	7	ERR	Vul Found (Changed)	Vul Found															
phantomjs	7	7	ERR	Vul Found (Changed)	Vul Found															
accepts	3	3	ERR	Vul Found (Changed)	Vul Found															
es6promise	35	13	ERR	Vul Found (Changed)	Vul Found															
errorhandler	3	3	ERR	Vul Found (Changed)	Vul Found															
eslintpluginflowtype	3	3	ERR	Vul Found (Changed)	Vul Found															
nedb	4	4	ERR	Vul Found (Changed)	Vul Found															
escodegen	3	3	ERR	Vul Found (Changed)	Vul Found															
vinylfs	11	11	ERR	Vul Found (Changed)	Vul Found															
secp256k1	3	3	ERR	Vul Found (Changed)	Vul Found															
polished	11	4	ERR	Vul Found (Changed)	Vul Found															
fusejs	7	2	ERR	Vul Found (Changed)	Vul Found															
rcutil	7	7	ERR	Vul Found (Changed)	Vul Found															
jshint	17	17	ERR	Vul Found (Changed)	Vul Found															
finalhandler	3	3	ERR	Vul Found (Changed)	Vul Found															
readablestream	9	9	ERR	Vul Found (Changed)	Vul Found															
istanbul	13	13	ERR	Vul Found (Changed)	Vul Found															
serveindex	1	1	ERR	Vul Found (Changed)	Vul Found															
config	1	1	ERR	Vul Found (Changed)	Vul Found															
markdownit	2	2	ERR	Vul Found (Changed)	Vul Found															
rsvp	17	8	ERR	Vul Found (Changed)	Vul Found															
vorpal	10	10	ERR	Vul Found (Changed)	Vul Found															
vuerouter	9	4	ERR	Vul Found (Changed)	Vul Found															
objectassign	3	3	ERR	Vul Found (Changed)	Vul Found															
reactdevutils	8	8	ERR	Vul Found (Changed)	Vul Found															
babelpresetreactapp	8	8	ERR	Vul Found (Changed)	Vul Found															
eslintconfigreactapp	8	8	ERR	Vul Found (Changed)	Vul Found															
reactscripts	8	8	ERR	Vul Found (Changed)	Vul Found															
babelpluginnamedassetimport	8	8	ERR	Vul Found (Changed)	Vul Found															
reactapppolyfill	8	8	ERR	Vul Found (Changed)	Vul Found															
gulp	13	13	ERR	Vul Found (Changed)	Vul Found															
xlsx	5	5	ERR	Vul Found (Changed)	Vul Found															
servestatic	3	3	ERR	Vul Found (Changed)	Vul Found															
canvas	2	2	ERR	Vul Found (Changed)	Vul Found															
nodegyp	1	1	ERR	Vul Found (Changed)	Vul Found															
rcslider	7	7	ERR	Vul Found (Changed)	Vul Found															
jquery	5	5	ERR	Vul Found (Changed)	Vul Found															
rawbody	3	3	ERR	Vul Found (Changed)	Vul Found															
inquirer	4	1	ERR	Vul Found (Changed)	Vul Found															
compression	3	3	ERR	Vul Found (Changed)	Vul Found															
urllib	5	5	ERR	Vul Found (Changed)	Vul Found															
grunt	1	1	ERR	Vul Found (Changed)	Vul Found															
cssnano	2	2	ERR	Vul Found (Changed)	Vul Found															
send	3	3	ERR	Vul Found (Changed)	Vul Found															
sqlite3	1	1	ERR	Vul Found (Changed)	Vul Found															
codemirror	3	3	ERR	Vul Found (Changed)	Vul Found															
buffer	3	3	ERR	Vul Found (Changed)	Vul Found															
levelup	4	4	ERR	Vul Found (Changed)	Vul Found															
history	11	7	ERR	Vul Found (Changed)	Vul Found															
superagent	27	27	ERR	Vul Found (Changed)	Vul Found															
emberclibabel	22	11	ERR	Vul Found (Changed)	Vul Found															
vue	20	14	ERR	Vul Found (Changed)	Vul Found															
vuetemplatecompiler	20	14	ERR	Vul Found (Changed)	Vul Found															
jade	6	4	ERR	Vul Found (Changed)	Vul Found															
awesometypescriptloader	15	4	ERR	Vul Found (Changed)	Vul Found															
mobxreact	8	5	ERR	Vul Found (Changed)	Vul Found															
systemjs	1	1	ERR	Vul Found (Changed)	Vul Found															
nodeforge	2	2	ERR	Vul Found (Changed)	Vul Found															
elasticsearch	4	4	ERR	Vul Found (Changed)	Vul Found															
webpackcli	3	2	ERR	Vul Found (Changed)	Vul Found															
babylon	21	9	ERR	Vul Found (Changed)	Vul Found															
bower	14	14	ERR	Vul Found (Changed)	Vul Found															
restify	2	2	ERR	Vul Found (Changed)	Vul Found															
reactselect	11	11	ERR	Vul Found (Changed)	Vul Found															
mobx	4	2	ERR	Vul Found (Changed)	Vul Found															
browserslist	2	1	ERR	Vul Found (Changed)	Vul Found															
reactrouterdom	12	7	ERR	Vul Found (Changed)	Vul Found															
reactrouter	12	7	ERR	Vul Found (Changed)	Vul Found															
pouchdb	20	20	ERR	Vul Found (Changed)	Vul Found															
express	1	1	ERR	Vul Found (Changed)	Vul Found															
electron	8	6	ERR	Vul Found (Changed)	Vul Found															
awssdk	10	10	ERR	Vul Found (Changed)	Vul Found															
stacktrace	0	0	No Vul	No Vul	No Vul															
clui	0	0	No Vul	No Vul	No Vul															
casesensitivepathswebpackplugin	0	0	No Vul	No Vul	No Vul															
opener	0	0	No Vul	No Vul	No Vul															
seleniumwebdriver	0	0	No Vul	No Vul	No Vul															
normalizecss	0	0	No Vul	No Vul	No Vul															
progressbarwebpackplugin	0	0	No Vul	No Vul	No Vul															
ini	0	0	No Vul	No Vul	No Vul															
classnames	0	0	No Vul	No Vul	No Vul															
serializejavascript	0	0	No Vul	No Vul	No Vul															
sourcemaploader	0	0	No Vul	No Vul	No Vul															
deasync	0	0	No Vul	No Vul	No Vul															
hexletpairs	0	0	No Vul	No Vul	No Vul															
admzip	0	0	No Vul	No Vul	No Vul															
clitable	0	0	No Vul	No Vul	No Vul															
prompts	0	0	No Vul	No Vul	No Vul															
htmlloader	0	0	No Vul	No Vul	No Vul															
webpackmanifestplugin	0	0	No Vul	No Vul	No Vul															
nodecache	0	0	No Vul	No Vul	No Vul															
inquirerautocompleteprompt	0	0	No Vul	No Vul	No Vul															
bip39	0	0	No Vul	No Vul	No Vul															
tracer	0	0	No Vul	No Vul	No Vul															
graphqltag	0	0	No Vul	No Vul	No Vul															
stylusloader	0	0	No Vul	No Vul	No Vul															
followredirects	0	0	No Vul	No Vul	No Vul															
slug	0	0	No Vul	No Vul	No Vul															
bulma	0	0	No Vul	No Vul	No Vul															
supertest	0	0	No Vul	No Vul	No Vul															
split	0	0	No Vul	No Vul	No Vul															
winstondailyrotatefile	0	0	No Vul	No Vul	No Vul															
dockerode	0	0	No Vul	No Vul	No Vul															
styleloader	0	0	No Vul	No Vul	No Vul															
terserwebpackplugin	0	0	No Vul	No Vul	No Vul															
lessloader	0	0	No Vul	No Vul	No Vul															
stylelintconfigstandard	0	0	No Vul	No Vul	No Vul															
nodenotifier	0	0	No Vul	No Vul	No Vul															
yaml	0	0	No Vul	No Vul	No Vul															
copywebpackplugin	0	0	No Vul	No Vul	No Vul															
svgo	0	0	No Vul	No Vul	No Vul															
commander	0	0	No Vul	No Vul	No Vul															
htmlparser2	0	0	No Vul	No Vul	No Vul															
highlightjs	0	0	No Vul	No Vul	No Vul															
chartjs	0	0	No Vul	No Vul	No Vul															
protobufjs	0	0	No Vul	No Vul	No Vul															
stylelintscss	0	0	No Vul	No Vul	No Vul															
webpackmerge	0	0	No Vul	No Vul	No Vul															
mssql	0	0	No Vul	No Vul	No Vul															
tar	0	0	No Vul	No Vul	No Vul															
jsbeautify	0	0	No Vul	No Vul	No Vul															
moment	0	0	No Vul	No Vul	No Vul															
sassloader	0	0	No Vul	No Vul	No Vul															
archiver	0	0	No Vul	No Vul	No Vul															
nodepregyp	0	0	No Vul	No Vul	No Vul															
cheerio	0	0	No Vul	No Vul	No Vul															
cssloader	0	0	No Vul	No Vul	No Vul															
marked	0	0	No Vul	No Vul	No Vul															
three	0	0	No Vul	No Vul	No Vul															
tsnode	0	0	No Vul	No Vul	No Vul															
yeomanenvironment	0	0	No Vul	No Vul	No Vul															
ioredis	0	0	No Vul	No Vul	No Vul															
helmet	0	0	No Vul	No Vul	No Vul															
mysql2	0	0	No Vul	No Vul	No Vul															
yeomangenerator	0	0	No Vul	No Vul	No Vul															
inversify	0	0	No Vul	No Vul	No Vul															
discordjs	0	0	No Vul	No Vul	No Vul															
serialport	0	0	No Vul	No Vul	No Vul															
webpackdevmiddleware	0	0	No Vul	No Vul	No Vul															
tsjest	0	0	No Vul	No Vul	No Vul															
nock	0	0	No Vul	No Vul	No Vul															
webpackdevserver	0	0	No Vul	No Vul	No Vul															
recast	0	0	No Vul	No Vul	No Vul															
reactintl	0	0	No Vul	No Vul	No Vul															
browsersync	0	0	No Vul	No Vul	No Vul															
graphql	0	0	No Vul	No Vul	No Vul															
rollup	0	0	No Vul	No Vul	No Vul															
stylelint	0	0	No Vul	No Vul	No Vul															
bootstrap	0	0	No Vul	No Vul	No Vul															
npm	0	0	No Vul	No Vul	No Vul															
xpath	0	0	No Vul	No Vul	No Vul															
xmldom	0	0	No Vul	No Vul	No Vul															
commandlineargs	0	0	No Vul	No Vul	No Vul															
gulpreplace	0	0	No Vul	No Vul	No Vul															
nodestatic	0	0	No Vul	No Vul	No Vul															
inherits	6	0	Vul Found	Vul Found	No Vul (Changed)															
merge	5	0	Vul Found	Vul Found	No Vul (Changed)															
jwtsimple	10	0	Vul Found	Vul Found	No Vul (Changed)															
connecthistoryapifallback	9	0	Vul Found	Vul Found	No Vul (Changed)															
rawloader	3	0	Vul Found	Vul Found	No Vul (Changed)															
httpstatuscodes	5	0	Vul Found	Vul Found	No Vul (Changed)															
jwtdecode	3	0	Vul Found	Vul Found	No Vul (Changed)															
optimizecssassetswebpackplugin	3	0	Vul Found	Vul Found	No Vul (Changed)															
flat	4	0	Vul Found	Vul Found	No Vul (Changed)															
temp	2	0	Vul Found	Vul Found	No Vul (Changed)															
objectpath	3	0	Vul Found	Vul Found	No Vul (Changed)															
es6promisify	1	0	Vul Found	Vul Found	No Vul (Changed)															
colors	5	0	Vul Found	Vul Found	No Vul (Changed)															
dateformat	4	0	Vul Found	Vul Found	No Vul (Changed)															
portfinder	2	0	Vul Found	Vul Found	No Vul (Changed)															
rolluppluginnoderesolve	6	0	Vul Found	Vul Found	No Vul (Changed)															
sinonchai	5	0	Vul Found	Vul Found	No Vul (Changed)															
cron	2	0	Vul Found	Vul Found	No Vul (Changed)															
deepmerge	2	0	Vul Found	Vul Found	No Vul (Changed)															
stylelintorder	2	0	Vul Found	Vul Found	No Vul (Changed)															
pathtoregexp	2	0	Vul Found	Vul Found	No Vul (Changed)															
webpackhotmiddleware	3	0	Vul Found	Vul Found	No Vul (Changed)															
fileloader	2	0	Vul Found	Vul Found	No Vul (Changed)															
ghpages	2	0	Vul Found	Vul Found	No Vul (Changed)															
rolluppluginbabel	4	0	Vul Found	Vul Found	No Vul (Changed)															
workboxwebpackplugin	4	0	Vul Found	Vul Found	No Vul (Changed)															
rollupplugincommonjs	6	0	Vul Found	Vul Found	No Vul (Changed)															
gulpwatch	2	0	Vul Found	Vul Found	No Vul (Changed)															
xml2js	4	0	Vul Found	Vul Found	No Vul (Changed)															
eventstream	1	0	Vul Found	Vul Found	No Vul (Changed)															
xmlbuilder	1	0	Vul Found	Vul Found	No Vul (Changed)															
coffeescript	4	0	Vul Found	Vul Found	No Vul (Changed)															
cleancss	2	0	Vul Found	Vul Found	No Vul (Changed)															
redux	4	0	Vul Found	Vul Found	No Vul (Changed)															
ejs	3	0	Vul Found	Vul Found	No Vul (Changed)															
lodashpick	1	0	Vul Found	Vul Found	No Vul (Changed)															
lodashdefaults	1	0	Vul Found	Vul Found	No Vul (Changed)															
reactapollo	3	0	Vul Found	Vul Found	No Vul (Changed)															
broccolifunnel	1	0	Vul Found	Vul Found	No Vul (Changed)															
hashsum	3	3	Vul Found	Vul Found	Vul Found															
urljoin	8	5	Vul Found	Vul Found	Vul Found															
jsonloader	8	4	Vul Found	Vul Found	Vul Found															
osenv	16	10	Vul Found	Vul Found	Vul Found															
warning	18	10	Vul Found	Vul Found	Vul Found															
touch	19	19	Vul Found	Vul Found	Vul Found															
commandexists	5	5	Vul Found	Vul Found	Vul Found															
md5	8	6	Vul Found	Vul Found	Vul Found															
figlet	6	1	Vul Found	Vul Found	Vul Found															
sprintfjs	10	3	Vul Found	Vul Found	Vul Found															
hyperquest	1	1	Vul Found	Vul Found	Vul Found															
recursivereaddir	4	4	Vul Found	Vul Found	Vul Found															
runsequence	13	13	Vul Found	Vul Found	Vul Found															
filesaver	5	5	Vul Found	Vul Found	Vul Found															
vuehotreloadapi	10	2	Vul Found	Vul Found	Vul Found															
webpacknodeexternals	7	6	Vul Found	Vul Found	Vul Found															
nodeemoji	5	4	Vul Found	Vul Found	Vul Found															
reduxthunk	13	1	Vul Found	Vul Found	Vul Found															
sanitizefilename	10	5	Vul Found	Vul Found	Vul Found															
nopt	4	1	Vul Found	Vul Found	Vul Found															
resizeobserverpolyfill	16	6	Vul Found	Vul Found	Vul Found															
deepdiff	11	4	Vul Found	Vul Found	Vul Found															
mkdirp	4	1	Vul Found	Vul Found	Vul Found															
gruntcontribclean	12	1	Vul Found	Vul Found	Vul Found															
immutabilityhelper	4	4	Vul Found	Vul Found	Vul Found															
crc	17	4	Vul Found	Vul Found	Vul Found															
which	8	2	Vul Found	Vul Found	Vul Found															
xml2json	5	5	Vul Found	Vul Found	Vul Found															
pluralize	5	1	Vul Found	Vul Found	Vul Found															
amqplib	7	7	Vul Found	Vul Found	Vul Found															
changecase	5	2	Vul Found	Vul Found	Vul Found															
ms	5	4	Vul Found	Vul Found	Vul Found															
rolluppluginutils	8	8	Vul Found	Vul Found	Vul Found															
nib	3	1	Vul Found	Vul Found	Vul Found															
sax	21	21	Vul Found	Vul Found	Vul Found															
dotenv	10	-	Vul Found	Vul Found	Vul Found															
fortawesomereactfontawesome	12	2	Vul Found	Vul Found	Vul Found															
momenttimezone	6	6	Vul Found	Vul Found	Vul Found															
chaiaspromised	8	8	Vul Found	Vul Found	Vul Found															
fstream	23	10	Vul Found	Vul Found	Vul Found															
karmamocha	15	13	Vul Found	Vul Found	Vul Found															
prismjs	7	5	Vul Found	Vul Found	Vul Found															
babelify	9	1	Vul Found	Vul Found	Vul Found															
jszip	17	17	Vul Found	Vul Found	Vul Found															
rimraf	10	1	Vul Found	Vul Found	Vul Found															
sourcemapsupport	14	11	Vul Found	Vul Found	Vul Found															
extracttextwebpackplugin	28	26	Vul Found	Vul Found	Vul Found															
gruntcontribjshint	1	1	Vul Found	Vul Found	Vul Found															
xregexp	31	25	Vul Found	Vul Found	Vul Found															
gracefulfs	5	1	Vul Found	Vul Found	Vul Found															
lrucache	4	1	Vul Found	Vul Found	Vul Found															
metalsmith	10	9	Vul Found	Vul Found	Vul Found															
mime	3	2	Vul Found	Vul Found	Vul Found															
mustache	31	28	Vul Found	Vul Found	Vul Found															
uglifyjswebpackplugin	11	6	Vul Found	Vul Found	Vul Found															
filesize	7	2	Vul Found	Vul Found	Vul Found															
xhr	7	6	Vul Found	Vul Found	Vul Found															
crossspawn	6	5	Vul Found	Vul Found	Vul Found															
xmljs	25	8	Vul Found	Vul Found	Vul Found															
install	4	1	Vul Found	Vul Found	Vul Found															
clipboard	3	3	Vul Found	Vul Found	Vul Found															
parse5	14	4	Vul Found	Vul Found	Vul Found															
reduxlogger	18	18	Vul Found	Vul Found	Vul Found															
babelpluginmoduleresolver	11	3	Vul Found	Vul Found	Vul Found															
karmajasmine	5	3	Vul Found	Vul Found	Vul Found															
gulpnotify	14	11	Vul Found	Vul Found	Vul Found															
commandlineusage	5	1	Vul Found	Vul Found	Vul Found															
reacthelmet	18	9	Vul Found	Vul Found	Vul Found															
eslintloader	6	4	Vul Found	Vul Found	Vul Found															
httpserver	5	4	Vul Found	Vul Found	Vul Found															
gruntcontribuglify	4	1	Vul Found	Vul Found	Vul Found															
reactonclickoutside	12	11	Vul Found	Vul Found	Vul Found															
sockjsclient	14	5	Vul Found	Vul Found	Vul Found															
underscore	21	13	Vul Found	Vul Found	Vul Found															
gulpeslint	16	3	Vul Found	Vul Found	Vul Found															
litelement	3	3	Vul Found	Vul Found	Vul Found															
uuid	3	2	Vul Found	Vul Found	Vul Found															
showdown	14	1	Vul Found	Vul Found	Vul Found															
coveralls	8	3	Vul Found	Vul Found	Vul Found															
bcrypt	4	1	Vul Found	Vul Found	Vul Found															
babelpluginlodash	9	4	Vul Found	Vul Found	Vul Found															
commontags	3	3	Vul Found	Vul Found	Vul Found															
semver	4	1	Vul Found	Vul Found	Vul Found															
needle	2	1	Vul Found	Vul Found	Vul Found															
elliptic	3	2	Vul Found	Vul Found	Vul Found															
cuid	12	4	Vul Found	Vul Found	Vul Found															
webpackbundleanalyzer	6	4	Vul Found	Vul Found	Vul Found															
lowdb	16	6	Vul Found	Vul Found	Vul Found															
reactdropzone	8	8	Vul Found	Vul Found	Vul Found															
chai	3	1	Vul Found	Vul Found	Vul Found															
gulptypescript	6	3	Vul Found	Vul Found	Vul Found															
soap	2	1	Vul Found	Vul Found	Vul Found															
glob	10	1	Vul Found	Vul Found	Vul Found															
ramda	15	7	Vul Found	Vul Found	Vul Found															
esprima	17	14	Vul Found	Vul Found	Vul Found															
bunyan	12	9	Vul Found	Vul Found	Vul Found															
eslintconfigprettier	4	4	Vul Found	Vul Found	Vul Found															
httpproxy	9	4	Vul Found	Vul Found	Vul Found															
highland	19	14	Vul Found	Vul Found	Vul Found															
husky	2	2	Vul Found	Vul Found	Vul Found															
postcsscssnext	36	36	Vul Found	Vul Found	Vul Found															
handlebars	11	9	Vul Found	Vul Found	Vul Found															
firebaseadmin	2	1	Vul Found	Vul Found	Vul Found															
reactmodal	5	3	Vul Found	Vul Found	Vul Found															
bson	8	5	Vul Found	Vul Found	Vul Found															
winston	8	3	Vul Found	Vul Found	Vul Found															
async	15	4	Vul Found	Vul Found	Vul Found															
stylus	3	3	Vul Found	Vul Found	Vul Found															
typescript	8	2	Vul Found	Vul Found	Vul Found															
nodemon	9	7	Vul Found	Vul Found	Vul Found															
htmlminifier	14	3	Vul Found	Vul Found	Vul Found															
immutable	25	25	Vul Found	Vul Found	Vul Found															
polymerpolymer	23	11	Vul Found	Vul Found	Vul Found															
less	12	9	Vul Found	Vul Found	Vul Found															
log4js	6	1	Vul Found	Vul Found	Vul Found															
apollolink	17	17	Vul Found	Vul Found	Vul Found															
apollolinkhttp	17	17	Vul Found	Vul Found	Vul Found															
web3	4	4	Vul Found	Vul Found	Vul Found															
bluebird	22	19	Vul Found	Vul Found	Vul Found															
jsdoc	3	3	Vul Found	Vul Found	Vul Found															
socketioclient	28	28	Vul Found	Vul Found	Vul Found															
socketio	4	4	Vul Found	Vul Found	Vul Found															
nodegit	10	4	Vul Found	Vul Found	Vul Found															
nyc	2	2	Vul Found	Vul Found	Vul Found															
lodash	4	2	Vul Found	Vul Found	Vul Found															
lodashmerge	4	2	Vul Found	Vul Found	Vul Found															
lodashget	4	2	Vul Found	Vul Found	Vul Found															
lodashdebounce	4	2	Vul Found	Vul Found	Vul Found															
lodashisequal	4	2	Vul Found	Vul Found	Vul Found															
lodashclonedeep	4	2	Vul Found	Vul Found	Vul Found															
lodashthrottle	4	2	Vul Found	Vul Found	Vul Found															
lodashassign	4	2	Vul Found	Vul Found	Vul Found															
lodashes	4	2	Vul Found	Vul Found	Vul Found															
lodashomit	4	2	Vul Found	Vul Found	Vul Found															
lodashcamelcase	4	2	Vul Found	Vul Found	Vul Found															
lodashisplainobject	4	2	Vul Found	Vul Found	Vul Found															
lodashuniq	4	2	Vul Found	Vul Found	Vul Found															
lodashisfunction	4	2	Vul Found	Vul Found	Vul Found															
lodashisstring	4	2	Vul Found	Vul Found	Vul Found															
lodashtemplate	4	2	Vul Found	Vul Found	Vul Found															
lodashisempty	4	2	Vul Found	Vul Found	Vul Found															
lodashmap	4	2	Vul Found	Vul Found	Vul Found															
lodashforeach	4	2	Vul Found	Vul Found	Vul Found															
lodashflatten	4	2	Vul Found	Vul Found	Vul Found															
lodashisobject	4	2	Vul Found	Vul Found	Vul Found															
i18next	27	27	Vul Found	Vul Found	Vul Found															
rxjs	2	2	Vul Found	Vul Found	Vul Found															
typeorm	3	3	Vul Found	Vul Found	Vul Found															
reduxform	16	3	Vul Found	Vul Found	Vul Found															
preact	8	8	Vul Found	Vul Found	Vul Found															
mocha	7	3	Vul Found	Vul Found	Vul Found															
github	2	2	Vul Found	Vul Found	Vul Found															
octokitrest	2	2	Vul Found	Vul Found	Vul Found															
quill	28	4	Vul Found	Vul Found	Vul Found															
karma	8	6	Vul Found	Vul Found	Vul Found															
mongodb	7	7	Vul Found	Vul Found	Vul Found															
esm	18	18	Vul Found	Vul Found	Vul Found															
mathjs	2	2	Vul Found	Vul Found	Vul Found															
apolloclient	1	1	Vul Found	Vul Found	Vul Found															
apollocacheinmemory	1	1	Vul Found	Vul Found	Vul Found															
postcssloader	2	2	Vul Found	Vul Found	Vul Found															
