Repository	Lock-Commit	Lock-Period	Lock-Time	First-Commit-Time	Lock-Committed-After
install	8733c6822b501a24d0e550e3da620868b430fc3c	Nov||2017	2017-11-16 16:36:52	2013-02-08 16:48:21	True
clipboard	2239c05b4dd0c4ca45637ab68abd19c0d4662a91	Jan||2021	2021-01-20 17:33:16	2015-09-17 23:15:24	True
parse5	dfd4257945278a1874d91352e34808d98bb7698b	Jun||2018	2018-06-05 17:01:30	2013-03-16 00:25:49	True
reduxlogger	21d033a151bef4119b16a3b8a43b0cc58e874899	Mar||2019	2019-03-29 14:30:54	2015-08-10 12:35:18	True
babelpluginmoduleresolver	0cef5ee0493e3113292435cefcb40287277cdd51	Dec||2019	2019-12-11 10:55:54	2015-08-16 10:05:20	True
karmajasmine	5b45cc12618bf6591bbf8fb3271f2c608927fceb	Jun||2018	2018-06-21 19:42:19	2013-01-26 20:05:48	True
gulpnotify	883e4a5f1642083c1471db0427fb9fc6f48b0500	Jan||2018	2018-01-13 19:32:40	2014-01-08 18:48:57	True
supertest	d4a63af138d23da0e2f3deae6be9356893a8190f	May||2018	2018-05-13 21:09:51	2012-06-26 11:27:52	True
split	b567eb4768dfb1d2153e19702438626059ac9f37	Aug||2017	2017-08-03 20:03:33	2011-08-20 11:38:02	True
commandlineusage	92c4dd5e96f6ae26624aa028eee201f3cca5642d	Aug||2017	2017-08-08 11:07:26	2015-06-28 15:15:40	True
winstondailyrotatefile	0f96e0ad165ed2c7b2dd313d021781984eedbb83	Mar||2018	2018-03-16 10:56:37	2015-09-18 14:54:38	True
reacthelmet	1803f678b9d38b5ae91961ea13ea1c7fa7c9afe8	Nov||2018	2018-11-16 13:38:45	2015-06-17 17:11:00	True
eslintloader	fc8b4e48ae900c7746b1b46f648f1e01da63ec3b	Aug||2019	2019-08-20 07:13:35	2014-12-05 09:01:53	True
httpserver	b1b266c82b813a0c7b7d308c003286109f3b60a8	Aug||2018	2018-08-08 14:04:17	2011-06-14 22:33:23	True
gruntcontribuglify	bf23f0b4e69c9589ba899fd25b096814f4306fcc	Dec||2017	2017-12-24 14:45:37	2012-10-03 09:20:51	True
reactonclickoutside	db37da71050f8a35b4cfa083fadeca74de61493d	Jan||2021	2021-01-27 09:13:18	2015-01-06 11:31:12	True
dockerode	0782a76e76eb4bf0f9aa1ba075a9232fe87f6f51	Feb||2018	2018-02-20 21:18:13	2013-08-29 11:16:13	True
styleloader	08ce425e3c635bb9d774d540a6101875e87a76fc	Jan||2018	2018-01-26 21:23:18	2012-04-07 03:06:57	True
sockjsclient	841e035b9ddcc5536be6e95b86821d8bf2e3a825	Aug||2018	2018-08-07 15:48:59	2011-07-22 15:17:30	True
underscore	78cd566c5eb1f16054e6d81e3b4d9be0e71767d1	Apr||2018	2018-04-23 13:41:13	2009-10-25 14:36:12	True
rolluppluginbabel	6801a6d4985d115773d494d92706a00531f2c3af	Jun||2017	2017-06-17 12:03:03	2015-10-21 12:31:42	True
workboxwebpackplugin	f21c8bb3267377efdd7c9e1c478444e114e10acb	Jul||2017	2017-07-13 15:02:13	2016-04-04 11:55:19	True
