Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
semanticuireact	0	0	0	0	0
autoprefixer	0	0	0	0	0
eslint	0	0	0	0	0
sequelize	1	0	0	0	0
esm	1	0	0	0	0
angularcdk	0	0	0	0	0
angularmaterial	0	0	0	0	0
postcss	0	0	0	0	0
pm2	0	0	0	0	0
browserify	0	0	0	0	0
mathjs	1	0	0	0	0
rollup	1	0	0	0	0
connect	0	0	0	0	0
stylelint	1	0	0	0	0
jupyterlabapplication	0	0	0	0	0
pouchdb	0	0	0	0	0
reactnative	0	0	0	0	0
express	0	0	0	0	0
angularcore	0	0	0	0	0
angularcommon	0	0	0	0	0
zonejs	0	0	0	0	0
angularplatformbrowser	0	0	0	0	0
angularcompiler	0	0	0	0	0
angularforms	0	0	0	0	0
angularplatformbrowserdynamic	0	0	0	0	0
angularrouter	0	0	0	0	0
angularhttp	0	0	0	0	0
angularanimations	0	0	0	0	0
angularcompilercli	0	0	0	0	0
angularplatformserver	0	0	0	0	0
bootstrap	1	0	0	0	0
electron	0	0	0	0	0
angulardevkitcore	0	0	0	0	0
angulardevkitschematics	0	0	0	0	0
awssdk	0	0	0	0	0
reactapollo	1	0	0	0	0
materialuicore	0	0	0	0	0
materialui	0	0	0	0	0
materialuiicons	0	0	0	0	0
webpack	0	0	0	0	0
babelpluginproposalclassproperties	0	0	0	0	0
babelpluginproposaldecorators	0	0	0	0	0
babelpluginproposalexportdefaultfrom	0	0	0	0	0
babelpluginproposalexportnamespacefrom	0	0	0	0	0
prettier	0	0	0	0	0
apolloclient	1	0	0	0	0
apollocacheinmemory	1	0	0	0	0
mongoose	0	0	0	0	0
npm	1	0	0	0	0
antd	0	0	0	0	0
