Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
bcryptjs	0	0	0	0	0
koacompose	0	0	0	0	0
deasync	1	0	0	0	0
sanitizefilename	1	0	0	0	0
mockjs	0	0	0	0	0
koabodyparser	0	0	0	0	0
gulpautoprefixer	0	0	0	0	0
jestwatchtypeahead	0	0	0	0	0
proptypes	0	0	0	0	0
nopt	1	0	0	0	0
resizeobserverpolyfill	1	0	0	0	0
inflection	1	0	0	0	0
es6promisify	1	0	0	0	0
gulpfilter	0	0	0	0	0
deepdiff	1	0	0	0	0
gruntcontribconcat	0	0	0	0	0
mkdirp	1	0	0	0	0
util	0	0	0	0	0
cleanwebpackplugin	0	0	0	0	0
gruntcontribclean	1	0	0	0	0
hexletpairs	1	0	0	0	0
md5file	0	0	0	0	0
global	0	0	0	0	0
bs58	0	0	0	0	0
bytes	0	0	0	0	0
immutabilityhelper	1	0	0	0	0
columnify	0	0	0	0	0
busboy	0	0	0	0	0
long	0	0	0	0	0
crc	1	0	0	0	0
hiredis	0	0	0	0	0
gruntcli	0	0	0	0	0
split2	0	0	0	0	0
tslib	0	0	0	0	1
colors	1	0	0	0	0
events	0	0	0	0	0
eslintpluginstandard	0	0	0	0	0
unzip	0	0	0	0	0
convertsourcemap	0	0	0	0	0
tv4	0	0	0	0	0
concatstream	0	0	0	0	0
admzip	1	0	0	0	0
base64js	0	0	0	0	0
httpstatus	0	0	0	0	0
ansicolors	0	0	0	0	0
clitable	1	0	0	0	0
gulpconcat	0	0	0	0	0
basicauth	0	0	0	0	0
slugify	0	0	0	0	0
babelplugindynamicimportnode	0	0	0	0	0
nodestatic	1	0	0	0	0
extractzip	0	0	0	0	0
prettyms	0	0	0	0	0
fastclick	0	0	0	0	1
optimist	0	0	0	0	0
through	0	0	0	0	0
jsonfile	0	0	0	0	0
which	1	0	0	0	0
watch	0	0	0	0	0
webpacksources	0	0	0	0	0
gaze	0	0	0	0	0
httpsproxyagent	0	0	0	0	0
xml2json	1	0	0	0	0
dateformat	1	0	0	0	0
koastatic	0	0	0	0	0
