Repository	Tag	No. Of. Duplicates
jwtsimple	v0.5.6	32
jwtsimple	v0.5.5	32
jwtsimple	v0.5.4	32
jwtsimple	v0.5.3	32
jwtsimple	v0.5.1	32
warning	v4.0.3	105
warning	v4.0.2	105
warning	v4.0.1	105
warning	v4.0.0	105
warning	v3.0.0	105
connecthistoryapifallback	v1.6.0	107
connecthistoryapifallback	v1.5.0	107
connecthistoryapifallback	v1.4.0	107
connecthistoryapifallback	v1.3.0	107
connecthistoryapifallback	v1.2.0	107
fspromise	2.0.2	0
fspromise	2.0.1	0
fspromise	2.0.0	0
fspromise	1.0.0	0
fspromise	0.5.0	0
read	v1.0.7	6
read	v1.0.6	6
read	v1.0.5	6
read	v1.0.4	6
read	v1.0.3	6
touch	v3.1.0	39
touch	v3.0.0	39
touch	v2.0.2	39
touch	v2.0.1	39
touch	v2.0.0	39
commandexists	v1.2.9	0
commandexists	v1.2.8	0
commandexists	v1.2.7	0
commandexists	v1.2.6	0
commandexists	v1.2.5	0
md5	v2.3.0	47
md5	v2.2.1	47
md5	v2.2.0	47
md5	v2.1.0	47
md5	v2.0.0	47
gulpreplace	v1.1.3	9
gulpreplace	v1.1.2	9
gulpreplace	v1.1.1	9
gulpreplace	v1.1.0	9
gulpreplace	v1.0.0	9
keycode	2.2.0	0
keycode	2.1.9	0
keycode	2.1.8	0
keycode	2.1.7	0
keycode	2.1.6	0
passportoauth2	v1.6.0	0
passportoauth2	v1.5.0	0
passportoauth2	v1.4.0	0
passportoauth2	v1.3.0	0
passportoauth2	v1.2.0	0
normalizecss	8.0.1	0
normalizecss	8.0.0	0
normalizecss	7.0.0	0
normalizecss	6.0.0	0
normalizecss	5.0.0	0
requireall	v3.0.0	0
requireall	v2.2.0	0
requireall	v2.1.0	0
requireall	v2.0.0	0
requireall	v1.1.0	0
isobject	4.0.0	23
isobject	v4.0.0	23
isobject	3.0.1	23
isobject	3.0.0	23
isobject	2.1.0	23
contenttype	v1.0.4	3
contenttype	v1.0.3	3
contenttype	v1.0.2	0
contenttype	v1.0.1	0
contenttype	v1.0.0	0
gulprename	v1.2.2	68
gulprename	v1.2.1	68
gulprename	v1.2.0	65
gulprename	v1.1.0	65
gulprename	v1.0.0	65
progress	2.0.0	0
progress	1.1.8	0
progress	1.1.5	0
progress	1.1.4	0
progress	1.1.2	0
bindings	1.5.0	0
bindings	1.4.0	0
bindings	1.3.1	0
bindings	v1.3.0	0
bindings	v1.2.1	0
ip	v1.1.5	5
ip	v1.1.4	5
ip	v1.1.2	5
ip	v1.1.1	5
ip	v1.1.0	5
verror	v1.10.0	0
verror	v1.8.1	0
verror	v1.8.0	0
verror	v1.7.0	0
verror	v1.6.1	0
clitable2	v0.2.0	54
clitable2	v0.1.9	5
